#,Callsign,Departure_Time,Destination Info,Origin Info,Origin,Dest,Routing,Aircraft Type,Cruise Speed (knots),Max Ceiling (FL),Default RFL,Time Duration,Schedule Arrival Time,path
182,MH643,10:04:40,WSSS,WBGG,(KCH),(SIN),WBGG_WSSS,B738,460,410,FL380,01:25:00,12:05:00,"[WBGG,VKG,AGOBA,SABIP,TOMAN,HOSBA,VTK,WSSS]"
183,MH2547,10:04:50,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,B738,460,410,FL380,01:45:00,07:20:00,"[WBGG,VKG,KAMIN,KIBOL,VPT,SAROX,VKL,WMKK]"
184,AK5231,10:05:00,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,A320,450,410,FL360,01:45:00,08:45:00,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,PADLI,SAROX,VKL,WMKK]"
185,MH2505,10:05:20,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,B738,460,410,FL380,01:45:00,09:00:00,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,PADLI,SAROX,VKL,WMKK]"
186,AK5203,10:05:30,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,A320,450,410,FL360,01:45:00,11:05:00,"[WBGG,VKG,KAMIN,KIBOL,VPT,SAROX,VKL,WMKK]"
187,OD1601,10:05:40,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,B738,460,410,FL380,01:45:00,11:20:00,"[WBGG,VKG,KAMIN,KIBOL,VPT,SAROX,VKL,WMKK]"
188,MH2543,10:05:50,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,B738,460,410,FL380,01:45:00,11:25:00,"[WBGG,VKG,KAMIN,KIBOL,VPT,SAROX,VKL,WMKK]"
189,AK5205,10:06:00,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,A320,450,410,FL360,01:45:00,12:25:00,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,OBDAB,VPK,ISTAN,VKL,WMKK]"
190,MH2507,10:06:20,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,B738,460,410,FL380,01:45:00,12:50:00,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,OBDAB,VPK,ISTAN,VKL,WMKK]"
191,AK5233,10:06:30,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,A320,450,410,FL360,01:45:00,13:40:00,"[WBGG,VKG,KAMIN,KIBOL,VPT,SAROX,VKL,WMKK]"
192,MH2513,10:06:40,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,B738,460,410,FL380,01:45:00,15:00:00,"[WBGG,VKG,KAMIN,KIBOL,VPT,SAROX,VKL,WMKK]"
193,AK5207,10:06:50,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,A320,450,410,FL360,01:45:00,15:40:00,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,OBDAB,VPK,ISTAN,VKL,WMKK]"
194,MH2521,10:07:00,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,B738,460,410,FL380,01:45:00,16:20:00,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,OBDAB,VPK,ISTAN,VKL,WMKK]"
195,AK5209,10:07:20,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,A320,450,410,FL360,01:45:00,16:50:00,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,PADLI,SAROX,VKL,WMKK]"
196,AK5211,10:07:30,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,A320,450,410,FL360,01:45:00,18:00:00,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,OBDAB,VPK,ISTAN,VKL,WMKK]"
197,MH2517,10:07:40,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,B738,460,410,FL380,01:45:00,18:15:00,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,OBDAB,VPK,ISTAN,VKL,WMKK]"
198,AK5229,10:07:50,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,A320,450,410,FL360,01:45:00,18:55:00,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,PADLI,SAROX,VKL,WMKK]"
199,AK5213,10:08:00,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,A320,450,410,FL360,01:45:00,19:20:00,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,PADLI,SAROX,VKL,WMKK]"
200,MH2529,10:08:10,WMKK,WBGG,(KCH),(KUL),WBGG_WMKK,B738,460,410,FL380,01:45:00,20:10:00,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,OBDAB,VPK,ISTAN,VKL,WMKK]"
